series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					283	937	1814	3833	7380	10972	16071	21332	19853	21202	19076	16568	19606.2	2015	16568	Agencia Nacional das Comunicaçoes	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP									17530	18295	18852	18816	19325	20335	23469	27383	21865.6	2015	27383	Information and Communications Technology Authority	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	140	20.93559492	7.003720791	CAF	Central African Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP												810	605				707.5	2012	605		
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		327	592	3417	20450	21000	22895	63263	101922	169600	228316	359000	354000	424357	567601	625917	466175	2015	625917	Telecommunications Regulatory Commission of Sri Lanka	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	148	18.66618401	15.36279341	TCD	Chad	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP										297	331	15799	19454	14689	10131	11337	14282	2015	11337	Autorité de Régulation des Communications Électroniques et des Postes	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	152	-71.23029019	-35.2652885	CHL	Chile	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	7680	66723	188454	352234	478883	708564	1011646	1302310	1427178	1654676	1789355	2011244	2166330	2295169	2489717	2719439	2336379.8	2015	2719439	Subsecretaría de Telecomunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	156	104.1403375	32.30955217	CHN	China	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	22660	336280	3298490	11219010	24939630	37350000	50853000	66414000	82879000	103978000	126337000	156487000	175183000	188909000	200483000	277046000	199621600	2015	277046000	Ministry of Industry and Information Technology	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	170	-73.07446751	3.888209046	COL	Colombia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	8872	13830	34888	64436	127113	318683	628077	1207090	1772088	2114782	2643033	3348142	3938657	4537621	5028595	5525511	4475705.2	2015	5525511	Ministerio de Tecnologías de la Información y las Comunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	174	43.34234565	-11.66121732	COM	Comoros	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP					1	4		82	110	66	329	400	1233	1300	1583	2000	1303.2	2015	2000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	175	45.14015057	-12.82217691	MYT	Mayotte	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																					
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	178	15.22052612	-0.840544119	COG	Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP										125	250	1311	1392	438	500		910.25	2014	500	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP														450	500	1000	650	2015	1000	ITU estimate.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				32	40	54	364	862	1220	1466	1675	2199	2340	2700			2413	2013	2700	Telecom Cook Islands Ltd.	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			8989	14878	27931	44914	83327	95000	109939	182654	396262	419782	448594	484883	515859	558656	485554.8	2015	558656	Superintendencia de Telecomunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	191	17.95874553	45.45172212	HRV	Croatia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				3400	26200	116200	251800	387050	527989	717354	837862	892835	919222	954720	984485	986215	947495.4	2015	986215	Croatian Regulatory Authority for Network Industries	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	192	-79.54460144	22.10030366	CUB	Cuba	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP								1946	2246	2883	3706	4421	5013	5360	7793	8157	6148.8	2015	8157	Ministerio de Comunicaciones	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	196	33.22285964	35.05659437	CYP	Cyprus	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		2500	5879	10033	17070	31856	63084	97613	147276	176024	194455	212149	220580	229195	243611	260640	233235	2015	260640	Office of the Commissioner for Electronic Communications and Postal Regulation	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	203	15.33151382	49.73913871	CZE	Czechia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	2500	6200	15300	34690	235996	709063	1112500	1496720	1759586	2036110	2261179	2509100	2656980	2856168	2994818	2946626	2792738.4	2015	2946626	Czech Telecommunication Office	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	204	2.339933594	9.65401646	BEN	Benin	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP			21	21	81	196	1498	710	8424	19061	27034	37535	41761	42477	45419	73263	48091	2015	73263	Autorité de Régulation des Communications Electroniques et de la Poste (ARCEP- Bénin)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	208	9.326571283	56.03829721	DNK	Denmark	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	67000	238000	451297	718299	1017594	1343855	1735317	1903541	2005681	2022709	2112406	2143247	2179545	2272401	2342073	2406702	2268793.6	2015	2406702	Danish Energy Agency	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	80	175	2238	2651	3253	3400	4300	5000	7000	7300	8311	8307	8500	10667	10785	15159	10683.6	2015	15159	ECTEL	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				15000	37257	60674	102880	173752	239118	315593	390505	423919	483625	526705	599996	686107	544070.4	2015	686107	Instituto Dominicano de las Telecomunicaciones (INDOTEL)	
2017.Q2.G.01	IT_NET_BBNDN	Fixed Internet broadband Subscriptions per 100 inhabitants	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		2623	6499	6916	11620	26786	46000	1e+05	155998	241233	221320	658923	843704	1058453	1319627	1580460	1092233.4	2015	1580460	Agencia de Regulación y Control de las Telecomunicaciones	
