series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	HECTARES	8627	8909	9053	9195	9337	2015	9337	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	HECTARES	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	HECTARES	12.15	12.15	12.15	12.15	12.15	2015	12.15	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	HECTARES	3299	3601	3752	3903	4054	2015	4054	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	HECTARES	0.22	0.22	0.22	0.22	0.22	2015	0.22	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	HECTARES	16.99	16.99	16.99	16.99	16.99	2015	16.99	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	HECTARES	73.226	73.061	72.896	71.696	71.496	2015	71.496	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	HECTARES	25	25	25	25	25	2015	25	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	HECTARES	4748	4208	3938	3722	3540	2015	3540	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	HECTARES	7264	6904	6724	6544	6364	2015	6364	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	HECTARES	16660	16622	16602	16576	16526	2015	16526	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	HECTARES	116	109	105	101	97	2015	97	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	HECTARES	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	HECTARES	8136	6392	5792	5192	4592	2015	4592	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	HECTARES									
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	HECTARES	1801	1917	1983	2046	2069	2015	2069	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	HECTARES	16.1	28.8	36.5	42.7	49.2	2015	49.2	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	356	79.3608464	22.34642074	IND	India	1	ANNUAL	HECTARES	63939	65390	67709	69790	70682	2015	70682	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	HECTARES	118545	99409	97857	94432	91010	2015	91010	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	HECTARES	9076.058	9325.656	10691.98	10691.98	10691.98	2015	10691.98	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	HECTARES	804	818	825	825	825	2015	825	FAO estimates	E
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	HECTARES	465.002	634.951	694.835	725.635	754.016	2015	754.016	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	HECTARES	132	153	155	154	165	2015	165	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	HECTARES	7590	8369	8759	9028	9297	2015	9297	Official submission of country data to FAO Global Forest Resources Assessment	C
