series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1995	2000	2005	2007	2009	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	NUMBER				839.69281				2005	839.69281	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	400	37.13024774	30.65365973	JOR	Jordan	1	ANNUAL	NUMBER				688.646792	823.95624	971.362084	807.927	2014	807.927	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	404	37.86096816	0.534797278	KEN	Kenya	1	ANNUAL	NUMBER	2343.37670658	2859.40028584	3399.87235021	4068.8981928	4395.67466422	4761.9404378	6426.56	2014	6426.56	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	410	127.8610254	36.45201023	KOR	Republic of Korea	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	414	47.49305029	29.53949468	KWT	Kuwait	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	417	74.52324839	41.46204516	KGZ	Kyrgyzstan	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	418	101.9901968	20.27482773	LAO	Lao People's Democratic Republic	1	ANNUAL	NUMBER				1276.959177			812.946	2014	812.946	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	422	35.89391711	33.92152458	LBN	Lebanon	1	ANNUAL	NUMBER				1876.925169				2005	1876.925169	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	426	28.25362195	-29.58041814	LSO	Lesotho	1	ANNUAL	NUMBER				163.004751	222.8578588224	290.216817	285.496	2014	285.496	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	428	26.42461876	56.64196636	LVA	Latvia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	430	-9.311879038	6.448381009	LBR	Liberia	1	ANNUAL	NUMBER						1281.619448	1424.376	2014	1424.376	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	E
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	434	18.0295985	27.04042819	LBY	Libya	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	438	9.552985019	47.14167005	LIE	Liechtenstein	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	440	23.90517807	55.33680309	LTU	Lithuania	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	442	6.092656563	49.77679538	LUX	Luxembourg	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	446	113.5665388	22.1237259	MAC	China, Macao Special Administrative Region	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	450	46.6982339	-19.38514785	MDG	Madagascar	1	ANNUAL	NUMBER	2469.65705925	2997.4131822	3486.03058325	4046.363412	4225.36856534	4459.66183659	6272.5	2014	6272.5	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	454	33.4884625	-13.40819859	MWI	Malawi	1	ANNUAL	NUMBER	725.488392	893.371496	1192.259808	1571.7378	1785.7929277675	2026.8313338261	1807.57	2014	1807.57	United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database	M
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	458	116.8346314	5.452415309	MYS	Malaysia	1	ANNUAL	NUMBER											
2017.Q2.G.01	EN_LND_SLUMN	Number of urban population living in slums	462	73.09672546	-0.614385021	MDV	Maldives	1	ANNUAL	NUMBER											
