series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.10314	0.10357	0.10513	0.10801	0.10556	0.10807	0.08828	0.09079	0.0803	0.07399	0.07349	0.08016	0.08043	0.06652	0.0776	0.07564	2014	0.0776	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.2352	0.21862	0.21633	0.2137	0.21913	0.21058	0.20378	0.21952	0.22418	0.21863	0.22088	0.22911	0.22279	0.22758	0.2065	0.221372	2014	0.2065	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.67825	0.65803	0.65056	0.6852	0.72564	0.73909	0.72379	0.69338	0.64619	0.62897	0.62361	0.62561	0.5913	0.57197	0.53957	0.590412	2014	0.53957	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD	0.16469	0.16337	0.15319	0.14553	0.13851	0.13636	0.12798	0.12219	0.11986	0.12515	0.12278	0.1251	0.11991	0.12418	0.12151	0.122696	2014	0.12151	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EN_ATM_CO2GDP	Emissions of carbon dioxide per unit of GDP (PPP)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	KG_CO2_PER_GDP_CON_PPP_USD																				
