series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CON_USD	0.421639	1.738805	2.780568	2.784797	1.330979	1.448547	1.719217	1.924193	1.44149	2.297171	1.7661236	2015	2.297171		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CON_USD	0.151189	0.418333	0.665381	1.415974	0.900632	0.993329	0.786216	0.92793	0.745435	0.923995	0.875381	2015	0.923995		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CON_USD	0.161594	0.478397	0.327292	0.429418	0.094129	0.052604	1.705753	0.214404	0.232534	0.165712	0.4742014	2015	0.165712		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CON_USD	2.049385	1.625696	2.654097	6.877753	3.345679	4.427575	5.382615	6.374387	5.163135	6.988779	5.6672982	2015	6.988779		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CON_USD	0.154222	0.002492	0.117681	0.408568	0.055089	0.115636	0.100345	0.22665	0.115429	0.074841	0.1265802	2015	0.074841		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CON_USD	3.027903	1.645142	1.014553	5.299667	6.149595	6.223846	4.23588	4.41308	5.206603	6.206143	5.2571104	2015	6.206143		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	CON_USD	0.78568	0.432718	1.478719	1.5785	1.207474	0.080124	0.823804	1.206616	1.106265	1.005946	0.844551	2015	1.005946		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	CON_USD	0.850964	0.643163	1.220827	1.47465	0.933046	0.457736	0.316416	1.791191	1.750015	1.598637	1.182799	2015	1.598637		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	CON_USD	0.453268	0.390926	1.149167	2.382871	1.8657	2.526252	2.191319	5.217715	3.777991	3.449395	3.4325344	2015	3.449395		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	CON_USD	0.024533	0.002595	0.102519	0.233708	0.20738	1.083772	0.645303	1.069182	0.650827	1.020322	0.8938812	2015	1.020322		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	CON_USD	19.912934	8.035807	3.52029	4.504356	19.246307	3.11917	5.301486	5.055224	4.050276	6.030167	4.7112646	2015	6.030167		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	CON_USD	0.357712	0.451516	0.330367	2.878225	1.9293	4.207645	4.463234	5.493838	4.628518	6.395488	5.0377446	2015	6.395488		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	CON_USD	2.066655	1.675269	2.812806	3.489048	5.66831	4.440677	3.975318	2.183968	2.046457	2.989274	3.1271388	2015	2.989274		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	CON_USD				0.021607	0.047505	0.048702	0.122196	0.148409	0.205232	0.288082	0.1625242	2015	0.288082		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	CON_USD															
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	CON_USD	0.505335	0.83624	0.713512	1.334246	1.14109	1.094463	1.301586	1.233524	0.918519	1.102172	1.1300528	2015	1.102172		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	CON_USD	0.611955	0.611004	0.831699	1.006984	0.523281	0.366264	0.618439	2.559068	2.645411	2.437941	1.7254246	2015	2.437941		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	CON_USD			0.056779	0.135726	0.07227	0.166775	0.355575	0.255226	0.417661	0.886804	0.4164082	2015	0.886804		
2017.Q2.G.01	DC_TOF_SCHIPSL	Total official flows for scholarships, by recipient	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	CON_USD	0.835336	0.752562	1.291671	1.659598	20.425136	0.303041	2.17937	3.056394	3.428542	3.488791	2.4912276	2015	3.488791		
