series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	470	14.44617519	35.89194275	MLT	Malta	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	474	-60.91544135	14.56086108	MTQ	Martinique	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	478	-10.33187259	20.26089546	MRT	Mauritania	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	480	57.568022	-20.28581998	MUS	Mauritius	1	ANNUAL	PERCENT		0.8636				0.8636	2012	0.8636	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	484	-102.5148166	23.93378032	MEX	Mexico	1	ANNUAL	PERCENT				0.9591		0.9591	2014	0.9591	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	492	7.424214814	43.73532918	MCO	Monaco	1	ANNUAL	PERCENT										
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	496	103.0728057	46.83892054	MNG	Mongolia	1	ANNUAL	PERCENT				7.0547		7.0547	2014	7.0547	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	498	28.4650624	47.20236795	MDA	Republic of Moldova	1	ANNUAL	PERCENT				1.3242		1.3242	2014	1.3242	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	499	19.25214024	42.78717043	MNE	Montenegro	1	ANNUAL	PERCENT				-2.265		-2.265	2014	-2.265	World Bank	G
2017.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita, total (%)	500	-62.19261223	16.73558313	MSR	Montserrat	1	ANNUAL	PERCENT										
