series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	212	-61.3493756	15.43391378	DMA	Dominica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP		6	1				1	408	1059	3			805	20	5	68	32	12	3	4		80	111	53	128	93	2014	128	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	222	-88.86862995	13.73603564	SLV	El Salvador	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP	1											8		2	5	1	5	11	15	33	73	30	4	6	13	25.2	2014	13	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	231	39.63505296	8.631223181	ETH	Ethiopia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	232	38.11074289	16.12894644	ERI	Eritrea	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP				4																	72	3	2			25.6666666666667	2012	2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	250	2.457288129	46.62660861	FRA	France	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	276	10.3806066	51.08862743	DEU	Germany	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
2017.Q2.G.01	VC_DSR_DMGEDUC	Damage to critical infrastructure, education facilities	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NUMBER	MP																													
