series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2002	2006	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	74	3.410732868	-54.43295905	BVT	Bouvet Island	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	76	-53.08432878	-10.77668561	BRA	Brazil	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	76	-53.08432878	-10.77668561	BRA	Brazil	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	84	-88.70199554	17.19965901	BLZ	Belize	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	84	-88.70199554	17.19965901	BLZ	Belize	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	84	-88.70199554	17.19965901	BLZ	Belize	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ALLAGE	ANNUAL	ALLAREA	MALE	LCU	MP							
2017.Q2.G.01	SL_EMP_EARN88_3	Average hourly earnings of technicians and associate professionals (ISCO-88)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	LCU	MP							
