series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	NUMBER					500	500	500	500	500	500	500	500	492	492	498	492	492	492	493.2	2017	492	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	NUMBER	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	2017	57	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	NUMBER	127	151	151	151	152	152	152	152	153	153	153	153	151	151	151	151	151	151	151	2017	151	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	NUMBER	601	601	601	609	609	609	609	609	614	614	614	614	586	586	612	612	612	612	606.8	2017	612	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	NUMBER	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	2017	56	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	NUMBER	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	2017	200	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	NUMBER	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	2017	83	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	NUMBER	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	2017	179	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	NUMBER	32	32	32	32	32	31	31	31	31	32	28	32	32	32	31	32	32	32	31.8	2017	32	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	NUMBER	149	149	149	150	150	150	150	178	178	178	178	183	183	183	183	183	183	190	184.4	2017	190	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	NUMBER	121	123	123	100	100	100	100	100	100	76	124	124	124	124	137	137	137	137	134.4	2017	137	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	NUMBER	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	2017	84	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	NUMBER	80	80	80	80	80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2017	100	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	NUMBER	543	546	547	547	547	547	546	529	529	529	529	547	547	547	547	547	547	547	547	2017	547	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	NUMBER	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2017	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	NUMBER	101	101	101	101	101	101	101	101	101	101	101	101	101	101	100	101	101	101	100.8	2017	101	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	NUMBER	71		70	70	70	71	71									50	50	50	50	2017	50	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	NUMBER	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	2017	200	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	NUMBER	577	577	577	574	574	574	574	574	577	577	577	577	577	577	577	577	577	577	577	2017	577	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	NUMBER	65	65	65	65	65	65	65	65	65	65	65	65	65	65	55	55	55	65	59	2017	65	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	NUMBER	120	120		119	119	119	119	120	120	120	116	116	114	114	120	120	120	117	118.2	2017	117	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	NUMBER	235	235	235	235	235	235	235	235	235	150	137	138	137	150	150	150	150	150	150	2017	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	NUMBER	49	49	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	2017	53	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	NUMBER	669	669	666	603	603	601	614	614	613	612	622	622	620	620	631	631	631	630	628.6	2017	630	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	NUMBER	200	200	200	200	200	230	230	230	230	228	230	230	230	273	275	275	275	275	274.6	2017	275	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	NUMBER	41	41	42	42	42	42	42	42	46	46	46	46	46	46	46	46	46	46	46	2017	46	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	NUMBER	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	2017	300	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	NUMBER	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	2017	15	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	NUMBER	113	113	113	113	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	2017	158	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	NUMBER	114	114	114	114	114	114	114	114	114						114	114	114	114	114	2017	114	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
