series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	0.053394174215	0.0785434278394	0.1285371165063	0.15156333794	0.2234013954644	0.268195609199	0.3111591732357	0.3758159610448	1	1.8	2	2.2	3	3.5	4.03	4.563264351542	3.4586528703084	2015	4.563264351542	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	0.647410010941	0.7938218643626	1.0504227058532	1.4585802284241	1.4461599804149	1.7920467939259	2.5375661289733	3.88	5.8	8.78	12	15	18.2854	21.9	25.8	29.988737549341	22.1948275098682	2015	29.988737549341	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	0.0357070762856	0.0459341343557	0.1660696646743	0.3203085553668	0.3609201070345	0.399257700084	0.5810457642296	0.847224520711	1.19	1.5	1.7	1.9	2.1000000000545	2.3	2.5	2.70000000055	2.3000000001209	2015	2.70000000055	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	16.6	19.1	22.1	25.4737788864723	28.1779101232438	31.1753470303684	34.4977511736017	35.9	37.3	41.56	45	52.2496072877744	55.05	58	61.11	64.289	58.1397214575549	2015	64.289	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	1.7759132067742	2.6396502148587	4.5957043307755	6.2	7.3	8.5232570026954	10.5231526193851	16	22.6	28.9	34.3	38.3	42.3001174855995	45.8	47.9	50.3	44.9200234971199	2015	50.3	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																				
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	2.207532992624	2.8541999713343	4.6	7.3889237105256	9.1186903029666	11.0072638904585	15.3416745365682	21.8	25.6	30	36.5	40.3509157546318	48.98	51.7	52.57	55.9049725142924	49.9011776537848	2015	55.9049725142924	Departamento Administrativo Nacional de Estadistica (DANE)
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	0.2717406072859	0.443068372539	0.5548696749851	0.8481893701515	1.3273271778536	2	2.2	2.5	3	3.5	5.1	5.5	5.9752963084286	6.5	6.98	7.459161385649	6.48289153881552	2015	7.459161385649	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT	1.2115338017931																	2000	1.2115338017931	
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	0.026354732058	0.0322236164307	0.157249517244	0.4600141868375	1.0775049295851	1.4634200595085	2.0079900793816	2.759704373709	4.2875099027648	4.5	5	5.6	6.1066950243584	6.6	7.11	7.61597466209	6.60653393728968	2015	7.61597466209	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT	0.0059021136807	0.011475781921	0.0927907024607	0.1349148374373	0.196208375178	0.2380377986928	0.2960536103088	0.37	0.44	0.56	0.72	1.2	1.679961014645	2.2	3	3.799999507273	2.3759921043836	2015	3.799999507273	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT	15.6561343580985	18.0831826401447	20.0189067452594	22.869588891914	23.9936017062117	26.1999580800671	25.8571650204272	25.6003276841944	25.41	30.29	35.71	39.0287889920513	42	45	48	51.000009033793	45.0057596051689	2015	51.000009033793	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	5.8002530233183	9.5594821349709	19.8948511346293	20.3336148143541	20.7923067055542	22.07	25.1	28.4	32.29	34.33	36.5	39.2121959961842	47.5	45.96	53	59.7629501371681	49.0870292266705	2015	59.7629501371681	Instituto Nacional de Estadística y Censos
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	6.644882543744	11.5585731811648	17.76	22.75	30.91	33.14	37.98	41.44	44.24	50.58	56.55	57.7899789891444	61.9399731527956	66.7476	68.57	69.8031	64.970130428388	2015	69.8031	Eurostat.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	0.5411825488111	1.0797517218891	3.7705850376901	5.2412690536929	8.407984759007	9.7380622078135	11.1596013147617	11.69	12.94	14.33	15.9	16.0172907996413	21.2	27.93	29.0701843656523	37.3050974155373	26.3045145161662	2015	37.3050974155373	Oficina Nacional de Estadística e Información (ONEI)
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	15.2553943710137	18.8187590408455	28.32	30.09	33.83	32.81	35.83	40.77	42.31	49.81	52.99	56.8598923503507	60.6898684001903	65.4548	69.33	71.7159	64.8100921501082	2015	71.7159	Eurostat.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	9.7805278883439	14.6971721171129	23.93	34.3	35.5	35.27	47.93	51.93	62.97	64.43	68.82	70.49	73.4300078241036	74.1104	79.71	81.2986	75.8078015648207	2015	81.2986	Eurostat.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	0.2252478514734	0.3634178900161	0.7029455951039	0.9513271149157	1.1825409651899	1.2710314394711	1.537854346247	1.79	1.85	2.24	3.13	4.1483230656251	4.5	4.9	6	6.787702956098	5.26720520434462	2015	6.787702956098	ITU estimate.
2017.Q2.G.01	IT_USE_ii99	Proportion of individuals using the Internet	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT	39.1724308555053	42.9575247201878	64.25	76.26	80.93	82.74	86.65	85.03	85.02	86.84	88.72	89.8100133895232	92.2600117153012	94.6297	95.99	96.3305	93.8040450209649	2015	96.3305	Eurostat.
