series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	PERCENT	0.67	1.98	-1.31	0.45	-0.91	-2.15	-1.06	-1.12	-0.44	-1.37	0.24	1.25	1.65	2.59	2.9	2.96	1.98	2.416	2016	1.98	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	PERCENT	2.58	0.6	0.54	-0.59	1.38	1.83	0.7	-0.51	-0.53	-1	2.05	1.4	0.68	0.74	1.74	0.28	0.62	0.812	2016	0.62	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	PERCENT	10.5	-1.67	1.2	0.27	6.13	3.31	4.32	11.57	3.46	-4.32	-1.48	1.51	-1.61	-1.63	0.24	-0.65	1.55	-0.42	2016	1.55	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	PERCENT	-4.83	2.86	1.92	-7.26	4.28	-1.02	1.68	2.45	-0.28	-0.58	0.66	0.86	1.66	-38.41	-1.04	2.27	2.79	-6.546	2016	2.79	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	PERCENT	5.05	-1.77	4.57	4.92	6.61	3.98	3	7.22	4.51	2.41	7.98	7.5	10.07	2.35	7.53	4.59	4.71	5.85	2016	4.71	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	PERCENT	-4.32	8.11	4.65	10.66	29.04	12.73	-2.73	-0.12	-0.42	0.63	9.62	-3.48	5.12	1.82	3.36	-1.98	-4.55	0.754	2016	-4.55	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT	2.91	2.72	0.76	0.54	3.14	1.69	1.03	1.69	-0.1	-0.5	-2.16	1	3.15	1.74	0.19	0.52	0.62	1.244	2016	0.62	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	7.06	7.49	8.09	8.98	9.19	10.33	11.94	13.23	9.68	8.69	10.29	8.74	7.17	7.18	6.88	6.49	6.39	6.822	2016	6.39	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	0.25	-9.06	-1.14	-1.98	5.61	1.09	7.64	5.4	0.82	-2.98	1.05	3.44	1.03	2.7	1.89	1.31	1.73	1.732	2016	1.73	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	7.07	-0.89	-0.98	-1.33	-1.56	-0.39	-0.8	-2.51	-2.86	-1.35	-1.13	-0.52	-0.12	0.36	-1.1	-1.6	-0.6	-0.612	2016	-0.6	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	7.6	-5.61	2.85	-1.23	1.34	8.54	0.83	-5.39	1.63	8.43	3.77	-0.85	-2.06	1.08	4.48	0.44	-0.28	0.732	2016	-0.28	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT	-9.5	-4.67	0.08	2.49	3.5	2.81	2.24	3.02	2.87	-0.51	3.66	3.57	3.81	5.09	5.56	3.22	0.47	3.63	2016	0.47	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT																						
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	0.47	-4.78	1.2	4.5	3.4	0.29	5.59	2.94	1.98	0.69	5.77	1.85	4.06	0.46	2.06	2.06	1.98	2.124	2016	1.98	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	7.9	4.8	5.56	3.7	1.19	3.18	4.04	3.44	0.98	-5.94	2.3	3.45	1.21	1.55	-3.03	0.96	-0.93	-0.048	2016	-0.93	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	4.79	1.69	0.4	2.48	5.12	8.99	9.98	4.42	2.32	-1.63	4.43	2.24	2.91	2.21	0.52	4.14	2.04	2.364	2016	2.04	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
2017.Q2.G.01	SL_EMP_PCAP	Growth rate of real GDP per employed person	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	-5.38	-2.11	-0.11	-0.58	1.42	3.01	1.22	1.72	1.61	-2.19	-0.09	1.66	0.86	-1.91	-3.97	-1.49	-2.28	-1.758	2016	-2.28	ILO estimates, November 2016, available in ILOSTAT (http://www.ilo.org/ilostat) . For the specific sources by country and the estimation methodology refer to ILOSTAT directly.	M
