series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1995	2000	2005	2010	2012	2014	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	NUMBER	3589	3589	3589	3589	3589	3589	5078	4085.33333333333	2016	5078	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	NUMBER	311	398	440	440	440	440	440	440	2016	440	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	E
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	NUMBER	105338	114504	163533	168841	172943	174266	174405	173871.333333333	2016	174405	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	NUMBER	6184	6272	6272	6272	6272	6272	6272	6272	2016	6272	FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	NUMBER	200	609	651	837	1023	1210	1210	1147.66666666667	2016	1210	FAO-WIEWS	C
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	NUMBER												
2017.Q2.G.01	ER_GRF_PLNTSTOR	Number of accessions of plant genetic resources secured in conservation facilities under medium or long-term conditions, total (number)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	NUMBER												
