series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	FEMALE	NUMBER	24	24	24	26	26	26	26	35	35	35	35	38	38	38	38	38	38	51	40.6	2017	51	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	FEMALE	NUMBER	21	18	18	16	16	16	16	25	25	21	40	40	40	40	57	57	57	57	53.6	2017	57	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	FEMALE	NUMBER	14	8	8	8	9	9	9	14	14	16	16	16	16	22	22	23	27	27	24.2	2017	27	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	FEMALE	NUMBER	4	4	4	4	4	18	18	18	18	6	10	10	10	10	24	24	24	24	21.2	2017	24	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	FEMALE	NUMBER	11	42	42	42	42	42	117	116	116	116	116	152	152	152	152	152	212	212	176	2017	212	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	FEMALE	NUMBER	22	22	22	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	2017	33	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	FEMALE	NUMBER	18	18	18	18	19	19	19	19	21	21	23	23	20	21	19	20	24	27	22.2	2017	27	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	FEMALE	NUMBER																							
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	FEMALE	NUMBER	8		4	4	4	6	6									7	8	8	7.66666666666667	2017	8	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2017.Q2.G.01	SG_GEN_PARLN	Number of seats held by women in national parliaments	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	FEMALE	NUMBER	74	73	73	73	75	75	75	76	83	83	80	80	85	85	85	85	83	84	84.4	2017	84	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
