series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	PERCENT	10.6108791045	10.84712642027	9.38400227456	10.24247934065	8.13425367041	8.9830353028	8.3191602047	7.89742755308	6.00612136633	6.33092492608	7.10365213321	6.09498715361	5.08752073227	3.02611591208	1.27345870209	1.0919337591	0.8452016501	0.6409335644	0.5814177278	0.63369507918	0.78574269135	0.65034739169	0.43864248107	0.47068924647	0.51778896746	1.55490336668	0.726474290674	2015	1.55490336668		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	PERCENT	34.52266784844	32.80862766585	35.64607164592	26.75711730228	29.23460157251	24.5161531532	20.74584455823	18.08851434732	20.22834723107	32.15105456995	20.8524145388	27.71496259384	32.72242857383	34.1437231916	18.36294319654	25.96592923646	18.11748337816	13.21936756162	9.64094574213	9.43821454153	9.34820427096	6.67655341858	6.88074181624	5.89901895259	7.50302555846	9.25981076961	7.243830103096	2015	9.25981076961		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	2.51395839674	15.66968854197	11.01271625388	3.79155771321	6.50445634365	1.78565164406						7.25041861594	5.95414834454	4.58219718673	7.94594598153	7.52485149962	5.89019230097	8.47505407142	11.79510820352	10.74758988155	6.84207393229	1.59085782674	10.64897844849	1.20914937675	1.44772513319	3.29564717625	3.638471592284	2015	3.29564717625		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	31.3772689592	23.00085013379	11.93244635908	10.81166978769	52.18427986378	10.93417308456	19.71812800936	6.78261946498	1.9738645176	0.37921866936	24.02847091238	8.30539840872	9.26333744717	5.22535142398	6.52760901635	11.79952927372	8.33002456541	5.89399387878	2.54394428494	8.31511079945	1.57506169589	1.18490750199	1.2766807948	2.98555119613	3.56292391856	4.66371786879	2.734756256054	2015	4.66371786879		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT																7.79473779713	9.04145406142	7.53457807289	7.60832318101	12.34609364164	3.06117916274	2.44666207657	3.05350986912	3.28724954206	3.19050089738	3.70742202562	3.13706888215	2015	3.70742202562		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	22.62077860043	15.81533313051	18.3796970147	15.22311337951	12.28142643162	12.88806473365	11.00844241812	9.27080141307	6.80742308318	5.80166593204	8.33257727985	9.30468019686	9.05446079853	10.24356624194	7.57996652386	5.18961855843	3.6005363903	3.31902921762	8.71257764173	7.15740306229	4.34321328308	5.85098553445	6.1190309342	8.58695481415	6.74632568316	6.46668371464	6.75399613612	2015	6.46668371464		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT																															
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	8.90997151172	5.10582676825	4.80492520705	5.20269600871	6.85025698865	7.2225543697	6.08508482045	8.41046003698	16.06819558295	17.09844559585	13.75004448178	15.24780103452	16.12922192679	13.67447963107	10.18669147047	7.03374116515	10.05095828967	9.41391674508	2.48732858591	3.68135341291	3.87698500025	4.39063515521	6.22108327151	5.2109955326	5.13501336919	6.52856744975	5.497258955652	2015	6.52856744975		
2017.Q2.G.01	DT_TDS_DECT	Debt service as a proportion of exports of goods and services	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT																															
