series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	PERCENT	48.25	47.95	48.45	42.87	41.84	44.28	43.37	50.11	50.95	49.82	46.41	47.79	48.01	44.08	46.49	46.556	2014	46.49		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	PERCENT	16.17	15.37	14.92	14.14	13.35	11.45	10.97	10.38	9.7	9.45	9.96	11.93	12.24	12.1	11.73	11.592	2014	11.73		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	PERCENT	64.85	61.18	68.63	62.21	63.24	63.49	69.69	60.68	57.22	56.39	55.15	64.95	65.51	62.69	62.37	62.134	2014	62.37		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	PERCENT	97.94	98.34	98.27	97.97	97.88	97.42	97.33	97.17	96.97	97.02	96.83	96.25	95.53	94.01	92.87	95.098	2014	92.87		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	PERCENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2014	0		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	PERCENT	32.95	32.11	32.65	33.66	39.5	42.06	42.26	42.84	43.13	42.27	42.31	40.5	38.62	38.48	37.87	39.556	2014	37.87		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	PERCENT	26.79	26.95	24.63	24.84	26.59	26.84	25.52	22.67	24.16	27.18	29.78	27.19	29.42	32.84	33.65	30.576	2014	33.65		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	PERCENT	34.43	34.05	34.81	33.57	33.78	26.32	21.97	18.59	18.73	16.12	13.16	16.68	17.1	16.89	18.75	16.516	2014	18.75		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	PERCENT	3.1	3.05	3.18	3.26	3.3	3.36	3.51	4.36	5.49	5.98	6.35	7.42	8.35	9.52	9.39	8.206	2014	9.39		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	PERCENT	4.86	5.29	5.75	5.6	6.08	6.38	6.82	7.66	7.84	8.68	9.74	10.48	11.13	12.19	12.75	11.258	2014	12.75		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	PERCENT	70.29	66.85	64.04	61.73	60.69	59.19	57.3	54.49	54.76	52.83	51.55	51.54	51.08	50.1	48.6	50.574	2014	48.6		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	PERCENT	10.74	11.12	11.87	12.72	14.45	16.13	15.27	17.7	18.55	19.34	21.35	23.9	27.28	27.38	30.22	26.026	2014	30.22		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	PERCENT	11.03	9.39	13.58	10.54	12.14	10.65	9.75	8.58	8.24	8.78	8.66	11.25	9.4	11.09	9.87	10.054	2014	9.87		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	PERCENT	17.76	18.73	17.46	19.65	19.72	19.66	18.5	18.6	18.25	18.29	18	17.86	17.71	17.99	18.38	17.988	2014	18.38		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	PERCENT	20.03	18.43	18.06	17.97	15.97	12.16	12.97	12.81	15.09	13.3	12.11	13.35	13.1	12.68	12.22	12.692	2014	12.22		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	PERCENT	50.86	50.19	50.74	47.98	47.39	47.19	47.65	36.89	40.55	32.67	34.3	33.5	27.26	28.16	28.17	30.278	2014	28.17		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	PERCENT	52.58	24.1	15.39	14.83	12.32	7.85	6.59	5.66	6.25	6.03	5.92	5.69	6	6.65	6.38	6.128	2014	6.38		
2017.Q2.G.01	EG_FEC_RNEW	Renewable energy share in the total final energy consumption	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	PERCENT	95.95	95.08	95.02	94.75	94.66	95.13	94.94	94.61	94.53	94.61	94.53	94.02	93.76	93.01	92.72	93.608	2014	92.72		
