geoAreaCode	years	Freq	Location	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
124	2012	ANNUAL	URBAN	mgr/m^3	2	-101.6575058	57.72360191	41	CAN	Canada	7.17102079042520	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
132	2012	ANNUAL	ALLAREA	mgr/m^3	1	-23.63544151	15.07791834	53	CPV	Cabo Verde	36.42349065972769	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
132	2012	ANNUAL	URBAN	mgr/m^3	2	-23.63544151	15.07791834	53	CPV	Cabo Verde					
136	2012	ANNUAL	ALLAREA	mgr/m^3	1	-81.16740559	19.32266656	58	CYM	Cayman Islands					
136	2012	ANNUAL	URBAN	mgr/m^3	2	-81.16740559	19.32266656	58	CYM	Cayman Islands					
140	2012	ANNUAL	ALLAREA	mgr/m^3	1	20.93559492	7.003720791	40	CAF	Central African Republic	38.56803807783797	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
140	2012	ANNUAL	URBAN	mgr/m^3	2	20.93559492	7.003720791	40	CAF	Central African Republic	55.88507639471661	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
144	2012	ANNUAL	ALLAREA	mgr/m^3	1	80.70489654	7.614693343	132	LKA	Sri Lanka	26.67478393726980	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
144	2012	ANNUAL	URBAN	mgr/m^3	2	80.70489654	7.614693343	132	LKA	Sri Lanka	28.46231167872391	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
148	2012	ANNUAL	ALLAREA	mgr/m^3	1	18.66618401	15.36279341	222	TCD	Chad	39.48594254596444	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
148	2012	ANNUAL	URBAN	mgr/m^3	2	18.66618401	15.36279341	222	TCD	Chad	61.27789288791016	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
152	2012	ANNUAL	ALLAREA	mgr/m^3	1	-71.23029019	-35.2652885	44	CHL	Chile	19.82098243795850	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
152	2012	ANNUAL	URBAN	mgr/m^3	2	-71.23029019	-35.2652885	44	CHL	Chile	24.99378250302656	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
156	2012	ANNUAL	ALLAREA	mgr/m^3	1	104.1403375	32.30955217	45	CHN	China	54.28300127452945	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
156	2012	ANNUAL	URBAN	mgr/m^3	2	104.1403375	32.30955217	45	CHN	China	59.47470675489967	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
162	2012	ANNUAL	ALLAREA	mgr/m^3	1	105.6426067	-10.4882473	57	CXR	Christmas Island					
162	2012	ANNUAL	URBAN	mgr/m^3	2	105.6426067	-10.4882473	57	CXR	Christmas Island					
166	2012	ANNUAL	ALLAREA	mgr/m^3	1	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
166	2012	ANNUAL	URBAN	mgr/m^3	2	96.82633757	-12.18600682	42	CCK	Cocos (Keeling) Islands					
170	2012	ANNUAL	ALLAREA	mgr/m^3	1	-73.07446751	3.888209046	51	COL	Colombia	16.86299012001791	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
170	2012	ANNUAL	URBAN	mgr/m^3	2	-73.07446751	3.888209046	51	COL	Colombia	18.06248718437944	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
174	2012	ANNUAL	ALLAREA	mgr/m^3	1	43.34234565	-11.66121732	52	COM	Comoros	16.06658506897107	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
174	2012	ANNUAL	URBAN	mgr/m^3	2	43.34234565	-11.66121732	52	COM	Comoros	16.00000012189788	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
175	2012	ANNUAL	ALLAREA	mgr/m^3	1	45.14015057	-12.82217691	160	MYT	Mayotte					
175	2012	ANNUAL	URBAN	mgr/m^3	2	45.14015057	-12.82217691	160	MYT	Mayotte					
178	2012	ANNUAL	ALLAREA	mgr/m^3	1	15.22052612	-0.840544119	49	COG	Congo	39.99909804934830	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
178	2012	ANNUAL	URBAN	mgr/m^3	2	15.22052612	-0.840544119	49	COG	Congo	56.87740200846412	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
180	2012	ANNUAL	ALLAREA	mgr/m^3	1	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	37.50787914417557	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
180	2012	ANNUAL	URBAN	mgr/m^3	2	23.65496507	-2.877154732	48	COD	Democratic Republic of the Congo	60.74088045963311	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
184	2012	ANNUAL	ALLAREA	mgr/m^3	1	-159.7711391	-21.22696458	50	COK	Cook Islands					
184	2012	ANNUAL	URBAN	mgr/m^3	2	-159.7711391	-21.22696458	50	COK	Cook Islands					
188	2012	ANNUAL	ALLAREA	mgr/m^3	1	-84.19712782	9.970998683	54	CRI	Costa Rica	17.88098338834112	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
188	2012	ANNUAL	URBAN	mgr/m^3	2	-84.19712782	9.970998683	54	CRI	Costa Rica	19.13754770082344	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
191	2012	ANNUAL	ALLAREA	mgr/m^3	1	17.95874553	45.45172212	101	HRV	Croatia	19.17863760598803	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
191	2012	ANNUAL	URBAN	mgr/m^3	2	17.95874553	45.45172212	101	HRV	Croatia	20.31542029182901	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
192	2012	ANNUAL	ALLAREA	mgr/m^3	1	-79.54460144	22.10030366	55	CUB	Cuba	16.60393823398553	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
192	2012	ANNUAL	URBAN	mgr/m^3	2	-79.54460144	22.10030366	55	CUB	Cuba	16.45378132527961	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
196	2012	ANNUAL	ALLAREA	mgr/m^3	1	33.22285964	35.05659437	59	CYP	Cyprus	16.74679135584630	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
196	2012	ANNUAL	URBAN	mgr/m^3	2	33.22285964	35.05659437	59	CYP	Cyprus	17.15233013646988	Float		Ambient air pollution : a global assessment of exposure and burden of disease, WHO Geneva 2016, http://www.who.int/iris/bitstream/10665/250141/1/9789241511353-eng.pdf	E
