series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	51	44.93839317	40.29499741	ARM	Armenia	2	<18Y	ANNUAL	MALE	NUMBER	1	2014	1		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	51	44.93839317	40.29499741	ARM	Armenia	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	51	44.93839317	40.29499741	ARM	Armenia	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	52	-59.5346489	13.13648273	BRB	Barbados	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	52	-59.5346489	13.13648273	BRB	Barbados	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	52	-59.5346489	13.13648273	BRB	Barbados	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	52	-59.5346489	13.13648273	BRB	Barbados	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	56	4.660976456	50.64104975	BEL	Belgium	1	18+	ANNUAL	FEMALE	NUMBER	49	2014	49		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	56	4.660976456	50.64104975	BEL	Belgium	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	56	4.660976456	50.64104975	BEL	Belgium	3	18+	ANNUAL	MALE	NUMBER	84	2014	84		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	56	4.660976456	50.64104975	BEL	Belgium	4	<18Y	ANNUAL	FEMALE	NUMBER	5	2014	5		
