geoAreaCode	years	Age	Freq	Location	Sex	Units	Bounds	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
24	2015	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
24	2016	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
24	2016	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	17.57817062	-12.33724746	3	AGO	Angola	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2000	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.529100529100529	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2000	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.529100529100529	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2005	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.523560209424084	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2005	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.523560209424084	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2010	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.520833333333333	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2010	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.520833333333333	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2015	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2015	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
28	2016	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	1	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	SG_INT_VRTUNGA	Proportion of voting rights of developing countries in the UN General Assembly	0.518134715025907	Float		UN General Assembly website http://www.un.org/en/member-states/index.html	G
