series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	NUMBER	6236	7104	7172	6431	5936	5148	6358.2	2015	5148	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	NUMBER	35	17	27	62	27	22	31	2015	22	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	NUMBER	138	145	124	154	146		142.25	2014	146	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	NUMBER	2	3	1	1	1	3	1.8	2015	3	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	356	79.3608464	22.34642074	IND	India	1	ANNUAL	NUMBER	42299	43741	43355	41984	41623		42675.75	2014	41623	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	NUMBER	1058	1467	1456	1386	1277		1396.5	2014	1277	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	NUMBER	3872.68394768					3259.26540818	3259.26540818	2015	3259.26540818	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	NUMBER											
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	NUMBER	53	42	54	52	52	30	46	2015	30	National Police	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	NUMBER	145	151	134		118	110	128.25	2015	110	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	NUMBER	529	552	530	502	475	469	505.6	2015	469	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	NUMBER	2576.41188958					2687.63644987	2687.63644987	2015	2687.63644987	World Health Organization	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	NUMBER	1447	1133	1099	1200	1005	1207	1128.8	2015	1207	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	NUMBER	465	442	428	370	395		408.75	2014	395	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	398	66.65359159	48.01963494	KAZ	Kazakhstan	1	ANNUAL	NUMBER	1397	1420	1266	1120	904	853	1112.6	2015	853	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	400	37.13024774	30.65365973	JOR	Jordan	1	ANNUAL	NUMBER	116	141	161	144			148.666666666667	2013	144	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	404	37.86096816	0.534797278	KEN	Kenya	1	ANNUAL	NUMBER	2239	2641	2761	2878	2649	2648	2715.4	2015	2648	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide	408	127.1803633	40.1462645	PRK	Democratic People's Republic of Korea	1	ANNUAL	NUMBER	1179.07748639					1109.6825484	1109.6825484	2015	1109.6825484	World Health Organization	C
