geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
574	1	15+	ANNUAL	PERCENT	167.9515548	-29.03230018	164	NFK	Norfolk Island	2010-2014	
578	1	15+	ANNUAL	PERCENT	11.47846389	61.34311134	169	NOR	Norway	2010-2014	
580	1	15+	ANNUAL	PERCENT	145.7582114	15.19099517	152	MNP	Northern Mariana Islands	2010-2014	
581	1	15+	ANNUAL	PERCENT	-162.4343752	5.874443968	245	UMI	US Minor Outlying Islands	2010-2014	
583	1	15+	ANNUAL	PERCENT	158.225216	6.880670092	79	FSM	Micronesia, Federated States of	2010-2014	
584	1	15+	ANNUAL	PERCENT	171.0839119	7.110213497	145	MHL	Marshall Islands	2010-2014	
585	1	15+	ANNUAL	PERCENT	134.5733878	7.502307591	179	PLW	Palau	2010-2014	
586	1	15+	ANNUAL	PERCENT	68.80479684	29.36491634	174	PAK	Pakistan	2010-2014	11.71338
591	1	15+	ANNUAL	PERCENT	-81.26616623	8.450965746	175	PAN	Panama	2010-2014	39.74246
598	1	15+	ANNUAL	PERCENT	145.8587761	-6.756057077	180	PNG	Papua New Guinea	2010-2014	
600	1	15+	ANNUAL	PERCENT	-60.54854225	-21.70216237	187	PRY	Paraguay	2010-2014	
604	1	15+	ANNUAL	PERCENT	-71.82093277	-13.58939705	177	PER	Peru	2010-2014	33.4762
608	1	15+	ANNUAL	PERCENT	120.8601418	14.16591706	178	PHL	Philippines	2010-2014	37.13248
612	1	15+	ANNUAL	PERCENT	-128.3225873	-24.37538456	176	PCN	Pitcairn	2010-2014	
616	1	15+	ANNUAL	PERCENT	19.40660158	52.1226733	181	POL	Poland	2010-2014	79.271455
620	1	15+	ANNUAL	PERCENT	-7.961599811	39.68509315	186	PRT	Portugal	2010-2014	89.37213
624	1	15+	ANNUAL	PERCENT	-14.40182514	12.11760394	89	GNB	Guinea-Bissau	2010-2014	
626	1	15+	ANNUAL	PERCENT	125.9451052	-8.797497247	228	TLS	Timor-Leste	2010-2014	
630	1	15+	ANNUAL	PERCENT	-66.47591017	18.22753799	182	PRI	Puerto Rico	2010-2014	
634	1	15+	ANNUAL	PERCENT	51.19152467	25.28355379	192	QAT	Qatar	2010-2014	
638	1	15+	ANNUAL	PERCENT	55.53171398	-21.13183266	193	REU	Réunion	2010-2014	
642	1	15+	ANNUAL	PERCENT	24.98481009	45.83893563	194	ROU	Romania	2010-2014	61.806145
643	1	15+	ANNUAL	PERCENT	99.01404926	61.61899849	195	RUS	Russian Federation	2010-2014	62.93485
646	1	15+	ANNUAL	PERCENT	29.92310194	-1.999842114	196	RWA	Rwanda	2010-2014	44.04834
652	1	15+	ANNUAL	PERCENT	-62.83173536	17.89513362	29	BLM	Saint Barthélemy	2010-2014	
654	1	15+	ANNUAL	PERCENT	-5.705752501	-15.96503946	202	SHN	Saint Helena	2010-2014	
659	1	15+	ANNUAL	PERCENT	-62.76628613	17.33994219	123	KNA	Saint Kitts and Nevis	2010-2014	
660	1	15+	ANNUAL	PERCENT	-63.05651612	18.21525315	4	AIA	Anguilla	2010-2014	
662	1	15+	ANNUAL	PERCENT	-60.96529553	13.89405601	130	LCA	Saint Lucia	2010-2014	
663	1	15+	ANNUAL	PERCENT	-63.04505461	18.0882685	138	MAF	Saint Martin (French Part)	2010-2014	
666	1	15+	ANNUAL	PERCENT	-56.33682442	46.85812735	209	SPM	Saint Pierre and Miquelon	2010-2014	
670	1	15+	ANNUAL	PERCENT	-61.19024321	13.24627968	251	VCT	Saint Vincent and the Grenadines	2010-2014	
674	1	15+	ANNUAL	PERCENT	12.46329038	43.93841766	207	SMR	San Marino	2010-2014	
678	1	15+	ANNUAL	PERCENT	6.609772265	0.241554875	212	STP	Sao Tome and Principe	2010-2014	
682	1	15+	ANNUAL	PERCENT	44.54763347	24.12594211	197	SAU	Saudi Arabia	2010-2014	63.086575
686	1	15+	ANNUAL	PERCENT	-14.46636926	14.35920905	199	SEN	Senegal	2010-2014	13.2701495
688	1	15+	ANNUAL	PERCENT	20.805876	44.03145697	210	SRB	Serbia	2010-2014	77.718835
690	1	15+	ANNUAL	PERCENT	55.46561591	-4.678053059	219	SYC	Seychelles	2010-2014	
694	1	15+	ANNUAL	PERCENT	-11.78306584	8.568604164	205	SLE	Sierra Leone	2010-2014	20.554
702	1	15+	ANNUAL	PERCENT	103.8107883	1.361009155	200	SGP	Singapore	2010-2014	97.88068
703	1	15+	ANNUAL	PERCENT	19.48495604	48.70741446	214	SVK	Slovakia	2010-2014	83.393965
704	1	15+	ANNUAL	PERCENT	105.802499	10.09643079	256	VNM	Viet Nam	2010-2014	34.45787
705	1	15+	ANNUAL	PERCENT	14.82209486	46.11958061	215	SVN	Slovenia	2010-2014	98.23358
706	1	15+	ANNUAL	PERCENT	46.20367477	4.406485729	208	SOM	Somalia	2010-2014	
710	1	15+	ANNUAL	PERCENT	24.67184355	-29.99957544	283	ZAF	South Africa	2010-2014	70.483685
716	1	15+	ANNUAL	PERCENT	29.86909584	-19.00075492	285	ZWE	Zimbabwe	2010-2014	36.642595
724	1	15+	ANNUAL	PERCENT	-3.554078296	40.39211472	71	ESP	Spain	2010-2014	96.0785
728	1	15+	ANNUAL	PERCENT	30.32618773	7.290839152	211	SSD	South Sudan	2010-2014	
732	1	15+	ANNUAL	PERCENT	-13.13515523	24.66265342	70	ESH	Western Sahara	2010-2014	
736	1	15+	ANNUAL	PERCENT	29.95650159	16.02643066	198	SDN	Sudan	2010-2014	
740	1	15+	ANNUAL	PERCENT	-55.90626394	4.132603197	213	SUR	Suriname	2010-2014	
744	1	15+	ANNUAL	PERCENT	13.38071013	78.82894131	203	SJM	Svalbard and Jan Mayen Islands	2010-2014	
748	1	15+	ANNUAL	PERCENT	31.50149288	-26.56471011	217	SWZ	Swaziland	2010-2014	
752	1	15+	ANNUAL	PERCENT	14.3775338	60.60103109	216	SWE	Sweden	2010-2014	99.546285
