series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	CU_USD	302472	181355.8	70022.4	157550	109186.9	292816	146405.8	26618.6	652191.8	245443.82	2014	652191.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	CU_USD	79651.3	431086.8	26300.8	60	1150	49684.8	111319.2	21266.2		45855.05	2013	21266.2		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	CU_USD	342978.6	219772.5	14940	24050	4092735.4	2914609.6	2211681.9	3073769.1	152019	2488963	2014	152019		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	CU_USD	704010	283160	91044.1	56468.5	21046.1	68313	390801.7	254202	164068	179686.16	2014	164068		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	CU_USD	5440141	559169.4	506360	4535381	41367	1397581.9	7276551.8	179.6	717792	1886694.46	2014	717792	2016 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	CU_USD	793647.1	688738.3	561339.8	3782734.7	3166009.4	44267804.8	607140.3	2394604.8	865203.9	10260152.64	2014	865203.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	CU_USD		34046.4	6617.9	10129.8	15137.5	750215.2		5089.9		256814.2	2013	5089.9		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	CU_USD				584876.8							2009	584876.8		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	CU_USD	1989193.1	317830	1965713.8	928512.7	630465.3	840771.4	1618534.1	216008.8	2110238	1083203.52	2014	2110238		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	CU_USD	100110	246090	377974.4	104967.8	234423.7	12600779.1	681817.4	315941.2	1500000	3066592.28	2014	1500000		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	CU_USD	143170	87230	79522.8	63250	23780	183291.7	726138		15200000	4033302.425	2014	15200000		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	CU_USD	807571.1	189285.5	14654462.1	835538.2		3315594.3	241336.9	577260.2		1378063.8	2013	577260.2		G
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	CU_USD														
2017.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	CU_USD														
