series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	PERCENT	32.414446	32.569347	32.655403	32.727116	32.755802	2015	32.755802	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	PERCENT	37.914213	39.153555	39.786411	40.410477	41.034543	2015	41.034543	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	PERCENT	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	PERCENT	15	15	15	15	15	2015	15	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	PERCENT	25.593483	27.936385	29.107836	30.279286	31.450737	2015	31.450737	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	PERCENT	0.000536	0.000536	0.000536	0.000536	0.000536	2015	0.000536	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	PERCENT	49.970588	49.970588	49.970588	49.970588	49.970588	2015	49.970588	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	PERCENT	43.560976	43.46282	43.364664	42.650803	42.531826	2015	42.531826	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	PERCENT	46.296296	46.296296	46.296296	46.296296	46.296296	2015	46.296296	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	PERCENT	44.307577	39.268384	36.748787	34.733109	33.034714	2015	33.034714	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	PERCENT	29.562103	28.097021	27.36448	26.631939	25.899398	2015	25.899398	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	PERCENT	84.632969	84.439929	84.338329	84.206248	83.952248	2015	83.952248	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	PERCENT	4.208999	3.955007	3.809869	3.664731	3.519594	2015	3.519594	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	PERCENT	0	0	0	0	0	2015	0	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	PERCENT	72.714273	57.127536	51.765126	46.402717	41.040307	2015	41.040307	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	PERCENT									
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	PERCENT	19.732661	21.003616	21.726745	22.417004	22.669004	2015	22.669004	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	PERCENT	0.160599	0.287282	0.36409	0.425935	0.490773	2015	0.490773	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	356	79.3608464	22.34642074	IND	India	1	ANNUAL	PERCENT	21.505185	21.993213	22.773183	23.473105	23.773119	2015	23.773119	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	360	113.9174	-0.994582204	IDN	Indonesia	1	ANNUAL	PERCENT	68.97886	57.844021	56.940945	54.948009	52.956819	2015	52.956819	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	ANNUAL	PERCENT	4.911117	5.046176	5.785503	5.785503	5.785503	2015	5.785503	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	368	43.76606267	33.05013795	IRQ	Iraq	1	ANNUAL	PERCENT	1.85117	1.883404	1.899521	1.899521	1.899521	2015	1.899521	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	372	-7.121425272	53.25274054	IRL	Ireland	1	ANNUAL	PERCENT	6.74992	9.216882	10.086152	10.533241	10.945217	2015	10.945217	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	376	34.62277992	31.06164552	ISR	Israel	1	ANNUAL	PERCENT	6.099815	7.07024	7.162662	7.116451	7.624769	2015	7.624769	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	380	12.57022427	42.79917282	ITA	Italy	1	ANNUAL	PERCENT	25.804039	28.452438	29.778337	30.692867	31.607398	2015	31.607398	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	384	-5.552690016	7.62211586	CIV	Côte d'Ivoire	1	ANNUAL	PERCENT	32.144654	32.477987	32.720126	32.713836	32.707547	2015	32.707547	FAO estimates	E
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	388	-77.31068409	18.15616857	JAM	Jamaica	1	ANNUAL	PERCENT	31.819021	31.477378	31.320406	31.1265	30.951062	2015	30.951062	Official submission of country data to FAO Global Forest Resources Assessment	C
2017.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area	392	139.2716103	36.6554539	JPN	Japan	1	ANNUAL	PERCENT	68.449931	68.246914	68.408779	68.493827	68.471879	2015	68.471879	Official submission of country data to FAO Global Forest Resources Assessment	C
