series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	METONS	0.5	0.63	0.5	0.75	0.78	0.84	1.02	1.1	1.37	1.57	1.83	2.09	2.23	2.54	2.64	2.266	2014	2.64	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	METONS	0.85	0.71	0.77	0.94	1.01	1.28	1.39	1.54	1.72	1.74	1.87	2.34	2.27	3.48	4.66	2.924	2014	4.66	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	METONS	4.5	4.91	5.02	5.32	5.31	5.44	5.97	6.67	6.68	6.36	6.61	6.76	6.84	7.13	7.17	6.902	2014	7.17	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	METONS	16.78	17.75	18.85	20.18	19.6	19.91	19.97	21.22	20.16	19.06	18.24	17.95	16.41	15.9	15.14	16.728	2014	15.14	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	METONS	27.34	26.46	25.24	24.5	24.22	25.05	25.44	26.31	25.47	29.33	32.68	29.77	30.52	29.42	29.45	30.368	2014	29.45	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	METONS	6.3	6.19	6.34	7.02	6.91	7.05	7.11	7.42	7.58	7.5	7.26	7	6.51	5.62	5.76	6.43	2014	5.76	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	METONS	121.33	121.19	117.22	121.38	121.9	118.46	118.94	121.23	115.93	109.09	111.44	110.42	105.67	101.17	96.55	105.05	2014	96.55	IEA/OECD CO2 emissions from fuel combustion, 2016	C
