series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	233	25.84093481	58.68487172	EST	Estonia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	242	177.9660884	-17.83301566	FJI	Fiji	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP									1.03861				1					1	2012	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	246	23.308447	61.91586738	FIN	Finland	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	248	19.80945969	60.1544901	ALA	Åland Islands	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	250	2.457288129	46.62660861	FRA	France	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	254	-53.23619089	3.922673437	GUF	French Guiana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	262	42.18274707	11.56004161	DJI	Djibouti	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP												1				1		1	2015	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	266	11.78727747	-0.60687619	GAB	Gabon	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	268	43.3713615	42.04813028	GEO	Georgia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	0.98161									1.0269									2009	1.0269	UNESCO Institute for Statistics Education Data Release May 2017	CA
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	270	-15.39944785	13.45295927	GMB	Gambia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	275	35.25694122	31.94347933	PSE	State of Palestine	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP			1	1	1	1		1	1	1	1	1	1	1	1	1		1	2015	1	UNESCO Institute for Statistics Education Data Release May 2017	C
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	276	10.3806066	51.08862743	DEU	Germany	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP																						
2017.Q2.G.01	SE_USC_GPITCH	Gender parity index of teachers in upper secondary education who are trained	288	-1.205623522	7.964825185	GHA	Ghana	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP	1.14137	1.11509	1.11541				0.65949	0.77979	1.02127	1.07846	1.0693	1.06923	1.0363	1.05874	1.05434	1.05573	1.13613	1.068248	2016	1.13613	UNESCO Institute for Statistics Education Data Release May 2017	C
