series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	METONS	1299100032	1261200000	1299800064	1333500032	1378400000	1399500032	1390599936	1431000064	1.422e+09	1384700032	1301900032	1386040012.8	2010	1301900032	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	METONS	2468000	2242700	2432000	2520700	2465800	2643000	2936000	3127000	2605000	2716000	2722000	2821200	2010	2722000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	METONS	6032000	5826000	6064000	6806000	6495000	6351000	7375000	7512000	6907000	7249000	6441000	7096800	2010	6441000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	METONS	14970000	1.6e+07	17020000	18920000	21090000	22810000	24390000	28360000	29580000	29190000	29690000	28242000	2010	29690000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	METONS	3242000	2805000	3435900	4155300	4408300	4494600	4509000	4096000	3926000	4081000	4242600	4170920	2010	4242600	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	METONS	1879000064	1784999936	1747000064	1.794e+09	1.854e+09	1.84e+09	1820999936	1.876e+09	1860999936	1827000064	1.752e+09	1827399987.2	2010	1.752e+09	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	METONS	40254000	43454000	46626000	54692000	53766000	63300000	68120000	71030000	71690000	69260000	79610000	71942000	2010	79610000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	METONS	320600000	323600000	3.29e+08	359700000	3.57e+08	359600000	357200000	399100000	395100000	362900000	315900000	366040000	2010	315900000	Environment Live	C
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_FTPRTN	Material footprint	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	METONS																
