geoAreaCode	sliceId	Age	Freq	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
756	1	15+	ANNUAL	PER_100000_POP	8.223158	46.96617097	43	CHE	Switzerland	2011-2015	98.684698
760	1	15+	ANNUAL	PER_100000_POP	38.50466565	35.01676176	220	SYR	Syrian Arab Republic (Syria)	2011-2015	
762	1	15+	ANNUAL	PER_100000_POP	69.294998	38.43069666	225	TJK	Tajikistan	2011-2015	
764	1	15+	ANNUAL	PER_100000_POP	101.0202951	15.13089239	224	THA	Thailand	2011-2015	102.253054
768	1	15+	ANNUAL	PER_100000_POP	0.97835765	8.532096072	223	TGO	Togo	2011-2015	
772	1	15+	ANNUAL	PER_100000_POP	-171.8154473	-9.214545558	226	TKL	Tokelau	2011-2015	
776	1	15+	ANNUAL	PER_100000_POP	-175.1959991	-21.19511329	229	TON	Tonga	2011-2015	27.502026
780	1	15+	ANNUAL	PER_100000_POP	-61.29389504	10.41877263	230	TTO	Trinidad and Tobago	2011-2015	38.536802
784	1	15+	ANNUAL	PER_100000_POP	53.98279159	23.43322219	9	ARE	United Arab Emirates	2011-2015	
788	1	15+	ANNUAL	PER_100000_POP	9.572737411	34.11439971	231	TUN	Tunisia	2011-2015	23.766346
792	1	15+	ANNUAL	PER_100000_POP	35.42890329	38.9899684	232	TUR	Turkey	2011-2015	69.619332
795	1	15+	ANNUAL	PER_100000_POP	58.9787665	40.0912346	227	TKM	Turkmenistan	2011-2015	
796	1	15+	ANNUAL	PER_100000_POP	-71.745121	21.80780585	221	TCA	Turks and Caicos Islands	2011-2015	
798	1	15+	ANNUAL	PER_100000_POP	178.6679611	-7.460048071	233	TUV	Tuvalu	2011-2015	
800	1	15+	ANNUAL	PER_100000_POP	32.39100438	1.279557331	236	UGA	Uganda	2011-2015	4.3111844
804	1	15+	ANNUAL	PER_100000_POP	31.40270802	49.00735945	237	UKR	Ukraine	2011-2015	92.260216
807	1	15+	ANNUAL	PER_100000_POP	21.7007909	41.60048068	146	MKD	Macedonia, Republic of	2011-2015	54.464108
818	1	15+	ANNUAL	PER_100000_POP	29.77468534	26.57438204	68	EGY	Egypt	2011-2015	11.2967452
826	1	15+	ANNUAL	PER_100000_POP	-2.23830539	53.27691757	81	GBR	United Kingdom	2011-2015	128.02444
831	1	15+	ANNUAL	PER_100000_POP	-2.200712402	49.71561166	83	GGY	Guernsey	2011-2015	
832	1	15+	ANNUAL	PER_100000_POP	-2.136773508	49.22353354	115	JEY	Jersey	2011-2015	
833	1	15+	ANNUAL	PER_100000_POP	-4.538190305	54.22880901	105	IMN	Isle of Man	2011-2015	
