series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	METONS	8189224	8060584	8416937	7981080.5	8274357.5	9022124	9892115	9915524	10561950	11938347	12338546	10929296.4	2010	12338546	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	METONS	87294048	87562640	88405416	89466584	93260848	96015968	99241376	99061808	100737400	107818496	109059256	103183667.2	2010	109059256	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	METONS	30142784	29774246	28989814	28976510	32332660	35232328	38131876	42510640	42949624	34129380	31451460	37834596	2010	31451460	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	METONS	30663356	39457264	45505124	48034804	54807848	54097640	58361036	59781480	69432472	53372832	41899040	56569372	2010	41899040	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	METONS	107685056	105506096	107365856	93940664	95830504	83233136	82572440	90808208	90874392	88151976	86459800	87773363.2	2010	86459800	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	METONS	16831164	17179200	19317896	18311620	19320328	19654160	19481154	21445274	22931082	19443596	21033954	20867012	2010	21033954	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	METONS	197483872	202968208	199202384	201491152	210560928	211394784	215894544	218919296	218439600	197720208	188248512	207844432	2010	188248512	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	METONS	22798470	20461364	19392890	20556658	19517424	24571532	33929028	35439992	35772172	39850060	38813192	36760888.8	2010	38813192	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	METONS	133884584	136432960	129248632	128759688	135479184	149338944	152241632	150388880	150863824	125271376	117507840	139254710.4	2010	117507840	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	METONS	386053.81	430391.97	401032.09	574436	278223.53	364967.31	230108.89	270044.75	246192.25	379895.56	417653.5	308778.99	2010	417653.5	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	METONS	56255988	61596964	60718244	57115768	54987820	53803396	57194956	55903220	52765560	40661516	43430704	49991191.2	2010	43430704	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	METONS	72923936	78103672	79372848	92489232	88850072	89975320	94398832	101781288	113882880	115852800	116355720	108454304	2010	116355720	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	METONS	26641238	27870806	28341246	28877948	27925788	26968814	29015716	28984350	29006328	29649546	29848972	29300982.4	2010	29848972	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	METONS	8573100	13694300	16955600	19926100	26360500	27540100	27278500	29248500	32585928	32113546	30058952	30257085.2	2010	30058952	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	METONS	136424752	144569680	153279744	161405184	166244288	180221744	187467904	194137488	204490784	219378656	231322224	207359411.2	2010	231322224	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	METONS	4734493	5803434	4226988	5053464	3838250	4629339	4105122	4420403	3234277	2765228	2748320	3454670	2010	2748320	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	METONS	20118284	20553862	23033886	32968056	34302184	35754756	38080996	43467920	38150616	36064576	34276664	38008154.4	2010	34276664	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	METONS	7010701	6594639	6070911	6559659.5	6958510.5	6721286.5	7340671.5	6109984	6560096.5	5550940.5	5898278.5	6291994.2	2010	5898278.5	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	METONS	177126528	178347808	179866464	190624752	195034592	194559024	203296128	207915872	198101520	154847392	158630144	184558211.2	2010	158630144	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	METONS	946890816	929197184	928193984	895457024	970798784	937852608	959396480	990946880	977550720	860673536	841123776	925938278.4	2010	841123776	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	METONS	1721054.25	1764534.5	1970831.25	1952298.88	1835383.75	2104300.75	2217140.75	2270665.5	2611310.5	2735210.75	2316868.25	2430239.15	2010	2316868.25	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	METONS	5112807	5735160	5562571.5	6927006.5	3622834.25	3497510	5328500	4099400	4679000	5115827	4283875.5	4701320.5	2010	4283875.5	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	METONS	11618274	12695569	13187887	14435815	15407348	16021790	14035055	16369674	17762418	20000096	21472362	17927921	2010	21472362	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	METONS	2604267	2600185.5	3880032.25	4243518.5	4213423	4158656.25	4147651.25	3588344.75	4153947.5	4481710.5	4835616	4241454	2010	4835616	Environment Live	C
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	METONS																
2017.Q2.G.01	EN_MAT_DOMCMPT	Domestic material consumption	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	METONS	1553677696	1477167616	1435695488	1401150336	1447484800	1407189632	1428507392	1447491456	1436392320	1375485056	1380105728	1413596390.4	2010	1380105728	Environment Live	C
